#species id	cell-line names	
species:ncbi:10090	3T3 clone A31 cell-lines|3T3 clone A31 cells|3T3 clone A31 cell-line|3T3 clone A31 celllines|3T3 clone A31 cellline|3T3 clone A31 cell
species:ncbi:9606	CB57/C91PL cells|CB57/C91PL cell-line|CB57/C91PL celllines|CB57/C91PL cell|CB57/C91PL cell-lines|CB57/C91PL cellline
species:ncbi:55057	MB-L11 cells|MB-L11 cell-lines|MB-L11 cellline|MB-L11 cell-line|MB-L11 cell|MB-L11 celllines
species:ncbi:9606	IGF026/88 celllines|IGF026/88 cell-lines|IGF026/88 cell-line|IGF026/88 cell|IGF026/88 cellline|IGF026/88 cells
species:ncbi:9606	IGF053/81 celllines|IGF053/81 cells|IGF053/81 cell|IGF053/81 cellline|IGF053/81 cell-lines|IGF053/81 cell-line
species:ncbi:9606	IGF036/79 cell-lines|IGF036/79 cellline|IGF036/79 celllines|IGF036/79 cells|IGF036/79 cell-line|IGF036/79 cell
species:ncbi:9606	IGF016/94 cell|IGF016/94 cell-lines|IGF016/94 cell-line|IGF016/94 cells|IGF016/94 cellline|IGF016/94 celllines
species:ncbi:9606	MP 9 cell-line|MP 9 cellline|MP 9 celllines|MP 9 cell-lines|MP 9 cells|MP 9 cell
species:ncbi:9606	OC 314 cell|OC 314 cell-lines|OC 314 cellline|OC 314 celllines|OC 314 cell-line|OC 314 cells
species:ncbi:9606	S1391 cellline|S1391 cell-lines|S1391 cell-line|S1391 cell|S1391 celllines|S1391 cells
species:ncbi:9606	AG95P cells|AG95P cell-lines|AG95P cell-line|AG95P celllines|AG95P cellline|AG95P cell
species:ncbi:9606	TF1 celllines|TF1 cellline|TF1 cells|TF1 cell|TF1 cell-line|TF1 cell-lines
species:ncbi:9606	DG96 cell-lines|DG96 cells|DG96 cell-line|DG96 cellline|DG96 celllines|DG96 cell
species:ncbi:55057	MB-L2 cell|MB-L2 cell-lines|MB-L2 cellline|MB-L2 cell-line|MB-L2 cells|MB-L2 celllines
species:ncbi:9606	A-P92 cellline|A-P92 cell-line|A-P92 cells|A-P92 celllines|A-P92 cell|A-P92 cell-lines
species:ncbi:10090	DS22-4 celllines|DS22-4 cell-lines|DS22-4 cellline|DS22-4 cell-line|DS22-4 cell|DS22-4 cells
species:ncbi:9606	IGF026/87 cells|IGF026/87 cell|IGF026/87 cell-lines|IGF026/87 cellline|IGF026/87 cell-line|IGF026/87 celllines
species:ncbi:9606	IGF053/83 cellline|IGF053/83 cells|IGF053/83 cell-lines|IGF053/83 celllines|IGF053/83 cell|IGF053/83 cell-line
species:ncbi:9606	IGF036/80 celllines|IGF036/80 cell-line|IGF036/80 cells|IGF036/80 cell-lines|IGF036/80 cell|IGF036/80 cellline
species:ncbi:9606	S1295 cells|S1295 cell-lines|S1295 celllines|S1295 cellline|S1295 cell-line|S1295 cell
