1	1	PROTEIN/PROTEIN	PROTEIN/PROTEIN	1	activation/NN 1	by/IN 0	
2	1	PROTEIN/PROTEIN	PROTEIN/PROTEIN	1	association/NN 1	with/IN 0	
1	1	PROTEIN/PROTEIN	PROTEIN/PROTEIN	2	bind/NN of/IN 1	to/TO 0	
65	1	PROTEIN/PROTEIN	PROTEIN/PROTEIN	2	interaction/NN between/IN 1	and/CC 0	
2	1	PROTEIN/PROTEIN	PROTEIN/PROTEIN	2	interaction/NN of/IN 1	and/CC 0	
23	1	PROTEIN/PROTEIN	PROTEIN/PROTEIN	1	interaction/NN 1	with/IN 0	
65	1	PROTEIN/PROTEIN	PROTEIN/PROTEIN	0	1	activate/VBN 0	
65	1	PROTEIN/PROTEIN	PROTEIN/PROTEIN	0	1	activate/VB 0	
12	1	PROTEIN/PROTEIN	PROTEIN/PROTEIN	0	1	activator/NN 0	
1	1	PROTEIN/PROTEIN	PROTEIN/PROTEIN	0	3	and/CC interaction/NN require/VB 0	
33	1	PROTEIN/PROTEIN	PROTEIN/PROTEIN	0	1	associate/VB 0	
33	1	PROTEIN/PROTEIN	PROTEIN/PROTEIN	0	1	associate/VBN 0	
139	1	PROTEIN/PROTEIN	PROTEIN/PROTEIN	0	2	associate/VB with/IN 0	
23	1	PROTEIN/PROTEIN	PROTEIN/PROTEIN	0	2	association/NN with/IN 0	
182	1	PROTEIN/PROTEIN	PROTEIN/PROTEIN	0	2	bind/VB to/TO 0	
182	1	PROTEIN/PROTEIN	PROTEIN/PROTEIN	0	2	bind/VBN to/TO 0	
3	1	PROTEIN/PROTEIN	PROTEIN/PROTEIN	0	3	by/IN bind/NN to/TO 0	
1	1	PROTEIN/PROTEIN	PROTEIN/PROTEIN	0	2	coimmunoprecipitate/VBN with/IN 0	
502	1	PROTEIN/PROTEIN	PROTEIN/PROTEIN	0	1	complex/NN 0	
103	1	PROTEIN/PROTEIN	PROTEIN/PROTEIN	0	1	contain/VB 0	
11	1	PROTEIN/PROTEIN	PROTEIN/PROTEIN	0	1	enhance/VB 0	
8	1	PROTEIN/PROTEIN	PROTEIN/PROTEIN	0	3	form/VB complex/NN with/IN 0	
47	1	PROTEIN/PROTEIN	PROTEIN/PROTEIN	0	1	form/VB 0	
2	1	PROTEIN/PROTEIN	PROTEIN/PROTEIN	0	2	in/IN activation/NN 0	
50	1	PROTEIN/PROTEIN	PROTEIN/PROTEIN	0	2	induce/VBN by/IN 0	
50	1	PROTEIN/PROTEIN	PROTEIN/PROTEIN	0	1	induce/VB 0	
50	1	PROTEIN/PROTEIN	PROTEIN/PROTEIN	0	1	induce/VBN 0	
1	1	PROTEIN/PROTEIN	PROTEIN/PROTEIN	0	1	induction/NN 0	
9	1	PROTEIN/PROTEIN	PROTEIN/PROTEIN	0	1	inhibit/VB 0	
9	1	PROTEIN/PROTEIN	PROTEIN/PROTEIN	0	1	inhibit/VBN 0	
155	1	PROTEIN/PROTEIN	PROTEIN/PROTEIN	0	1	interact/VB 0	
155	1	PROTEIN/PROTEIN	PROTEIN/PROTEIN	0	1	interact/VBN 0	
1809	1	PROTEIN/PROTEIN	PROTEIN/PROTEIN	0	2	interact/VB with/IN 0	
101	1	PROTEIN/PROTEIN	PROTEIN/PROTEIN	0	2	interaction/NN with/IN 0	
1	1	PROTEIN/PROTEIN	PROTEIN/PROTEIN	0	1	link/VB 0	
1	1	PROTEIN/PROTEIN	PROTEIN/PROTEIN	0	2	mediate/VB interaction/NN 0	
7	1	PROTEIN/PROTEIN	PROTEIN/PROTEIN	0	1	mediate/VB 0	
7	1	PROTEIN/PROTEIN	PROTEIN/PROTEIN	0	1	mediate/VBN 0	
25	1	PROTEIN/PROTEIN	PROTEIN/PROTEIN	0	1	phosphorylate/VBN 0	
17	1	PROTEIN/PROTEIN	PROTEIN/PROTEIN	0	1	promote/VB 0	
47	1	PROTEIN/PROTEIN	PROTEIN/PROTEIN	0	0	1	interaction/NN 
1	1	PROTEIN/PROTEIN	PROTEIN/PROTEIN	0	2	recruit/VBN to/TO 0	
2	1	PROTEIN/PROTEIN	PROTEIN/PROTEIN	0	2	recruitment/NN of/IN 0	
3	1	PROTEIN/PROTEIN	PROTEIN/PROTEIN	0	1	reduce/VBN 0	
12	1	PROTEIN/PROTEIN	PROTEIN/PROTEIN	0	1	regulate/VBN 0	
3	1	PROTEIN/PROTEIN	PROTEIN/PROTEIN	0	1	regulation/NN 0	
5	1	PROTEIN/PROTEIN	PROTEIN/PROTEIN	0	1	regulator/NN 0	
1	1	PROTEIN/PROTEIN	PROTEIN/PROTEIN	0	2	relate/VBN to/TO 0	
1	1	PROTEIN/PROTEIN	PROTEIN/PROTEIN	0	1	repress/NN 0	
5	1	PROTEIN/PROTEIN	PROTEIN/PROTEIN	0	1	repressor/NN 0	
55	1	PROTEIN/PROTEIN	PROTEIN/PROTEIN	0	1	require/VB 0	
2	1	PROTEIN/PROTEIN	PROTEIN/PROTEIN	0	1	stimulate/VB 0	
1	1	PROTEIN/PROTEIN	PROTEIN/PROTEIN	0	1	stimulation/NN 0	
112	1	PROTEIN/PROTEIN	PROTEIN/PROTEIN	0	1	suppress/VB 0	
52	1	PROTEIN/PROTEIN	PROTEIN/PROTEIN	0	1	target/NN 0	
2	1	PROTEIN/PROTEIN	PROTEIN/PROTEIN	0	3	through/IN interaction/NN with/IN 0	
1	1	PROTEIN/PROTEIN	PROTEIN/PROTEIN	4	trigger/VBN by/IN activation/NN in/IN 2	associate/VBN with/IN 0	
